AcresTotal,Age,AgentIDX,AgentStatus,AnnualExpenses,AssociationFee,AVMYN,BathsHalf,BathsTotal,Bedrooms,City,CommunityAmenities,CompassSuffix,County,DisplayFlagAddress,DisplayFlagListing,ElementarySchool,EquipAndAppliances,FloodPlainYNU,Furnishings,HeatingAndCooling,HighSchool,HOACOAYN,LeaseYN,LegalDescription,LenderOwnedYN,ListAgentAgentID,ListAgentOfficeID,ListDate,ListingAgentID,ListingAgentName,ListingArea,ListingBoardID,ListingFirmID,ListingID,ListingStatus,ListPrice,MiddleSchool,ModificationTimestamp,MonthlyDuesDol,NetIncome,OccupancyDesc,OfficeIDX,OfficeStatus,OwnerAgentYN,PhotoCount,PhotoModificationTimestamp,PoolAndPoolExtras,PoolPresent,PostalCode,PropertySubType,PropertyType,PublicRemarks,RearExposureCode,RentIncludes,Rooms,ShortSaleYN,ShowingInstructions,SqFtTotal,StreetDirPrefix,StreetName,StreetNumber,Subdivision,TaxAmount,TaxSectionCode,TaxTownship,TaxYear,TotalUnits,VarDualRateCommYN,VirtualTourYN,VOWAVMYN,VOWCommentsYN,WaterAndSewer,Waterfront,WaterFrontage,WaterFrontPresent,YearBuilt,Zoning
41.5,,Yes,"- Active",,,No,0,1,1,"Floral City","BBQ Area,Bike Path,Boat Dock,Equestrian Trail",,,,Yes,,"Ceiling Fan(s),Microwave,Oven/Range-Elec,Refrigerator,Stack Washer/Dryer",,"Furnished,Turnkey","Cool-Central Electric,Heat-Central Electric",,No,No,"BEG AT NE COR OF W1/2 OF SW1/4 OF 18-20-21, TH S 0 DEG 35M 5 7S W AL E LN OF W1/2 OF SW1/4 2045.66 FT, TH S 84 DEG 17M 24 S W 663.6 FT, TH N 31 DEG 53",No,275538101297,27553810,2012-08-27,1297,,05,2755,381,357315,Active,800,Inverness,2012-08-27T13:56:42,,,,Yes,"- Active",Yes,6,2012-08-27T13:56:42,,No,34436,,Rental,"Come enjoy a little piece of old Florida heaven. Beautiful restored cottage on 40 acres of working cattle farm. Sit on the front porch in the comfy rockers and enjoy the wildlife. Deer, turkey, sandhill cranes, you name it and you may see it. The cottage is fully stocked with everything you need to make this your home except your food and clothing. Plenty of room for your boat, RV, etc. Close to the Withlacoochee bike trail, the state forest for hunting, hiking, and horseback riding. The Withlachoochee river with a boat ramp, 1 hour to Tampa or Orlando, 45 minutes to Ocala. Also listed in VRBO.com #342952. Read what our prior guests said.",,"Electric,Garbage,Satellite,Sewer,Water","Great Room,Kitchen",No,"Appointment Only,Call Office/Agent,Call Property Manager",400,E,Larry,11011,"Not in Subdivision",,,,,,,No,Yes,Yes,"Septic - Private,Well - Private",,,No,1965,
.2,,Yes,"- Active",,,No,0,2,3,"Spring Hill",None,,,,Yes,,"Ceiling Fan(s),Dishwasher,Dryer,Garage Door Opener(s),Laundry Tub,Microwave,Oven/Range-Elec,Refrigerator,Smoke Detector(s),Washer",,Unfurnished,"Cool-Central Electric,Heat-Central Electric",,No,No,"SPRING HILL UNIT 18 BLK 1173 LOT 4 ORB 1912 PGS 252-53",No,275592403348,27559240,2012-09-01,3348,,03,2755,924,357491,Active,1100,"Other Middle",2012-09-06T14:34:53,,,,Yes,"- Active",No,15,2012-09-06T14:34:53,,No,34608,,Rental,"Well maintained home! Glass enclosed screen room out back in peaceful setting. No rear neighbors. Large Kitchen w/plenty of cabinets & counter space. Storage in Garage along with screen doors over garage door. Water sofner. Rent includes Lawn Service & Pest Control.",,"Lawn Care,Pest Control,Repair/Maintenance","Dining Room,Inside Laundry Rm,Kitchen,Living Room,Master Bedroom Suite",No,"Call Office/Agent,No Sign",1384,,Sheffield,11032,"Not in Subdivision",,,,,,,No,Yes,No,"Irrigation - Metered,Water - HCUD",,,No,2005,
0,,Yes,"- Active",,,No,0,2,2,Homosassa,"Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,Yes,,"CYPRESS RUN CONDO PHASE II UNIT 24-A",No,2755059033265,275505903,2012-10-11,3265,,22,2755,059,358171,Active,750,Lecanto,2013-03-18T13:34:50,,,,Yes,"- Active",No,1,2012-10-11T19:46:48,"Other-See Remarks",No,34446,,Rental,"Sugarmill Woods Cypress Run Condo's ground floor with private wooded views and community pool. This updated 2 bedroom, 2 Bathcondo has lots to offer. Open floor plan with ceramic tile throughout. Enjoy the maintenance free living. Kitchen opens to dining area with breakfast bar. Master suite offers separate tub and shower with large vanity/dressing room and walk in closet. Inside laundry with washer/dryer. Guest bath offers tub/shower combination.",,"Other-See Remarks","Other-See Remarks",No,"Other-See Remarks",1410,,"Cypress Run  A",24,"Sugarmill Woods",,,,,,,No,No,No,"Other - See Remarks","Other-See Remarks",,No,1981,
0,,Yes,"- Active",,,No,0,2,2,Homosassa,"Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,Yes,,"CYPRESS RUN CONDO PHASE III UNIT 44A",No,2755059033265,275505903,2012-10-15,3265,,22,2755,059,358217,Active,800,Lecanto,2013-03-18T13:35:55,,,,Yes,"- Active",No,1,2012-10-15T16:10:00,"Other-See Remarks",No,34446,,Rental,"Sugarmill Woods bottom floor golf course view condo in deed restricted community. Maintenance free living in 1uiet, peaceful area. 2 bedroom, 2 bath split floor plan. Wood laminate flooring throughout. Kitchen with breakfast bar overlooks large living room/dining room combination. Enclosed Florida Room overlooks golf course and club house. Inside laundry with washer/dryer. Community pool No pets, no trucks and no motorcycles. Covered parking.",,"Other-See Remarks","Other-See Remarks",No,"Other-See Remarks",1410,,"Cypress Run  A",44,"Sugarmill Woods",,,,,,,No,No,No,"Other - See Remarks","Other-See Remarks",,No,1981,
0,,Yes,"- Active",,,No,0,2,3,"Beverly Hills","Other-See Remarks",,,,Yes,,"Other-See Remarks",,Unfurnished,"Other-See Remarks",,No,,"SEE ALTKEY 2788631",No,2755059033265,275505903,2012-10-17,3265,,09,2755,059,358282,Active,1100,"Citrus Springs",2013-05-10T16:00:59,,,,Yes,"- Active",No,1,2013-05-10T16:01:00,,Yes,34465,,Rental,"BEAUTIFUL 3/2/2/ POOL HOME IN DESIRABLE NEIGHBORHOOD TENANT IN HOME UNTIL 10/2013.",,"Other-See Remarks","Other-See Remarks",No,"Other-See Remarks",2139,W,ROMANY,225,"Beverly Hills",,,,,,,No,No,No,"Other - See Remarks",,,No,1996,
0,,Yes,"- Active",,,No,0,2,2,Homosassa,"Other-See Remarks",,,,Yes,,"Other-See Remarks",,Furnished,"Other-See Remarks",,No,,"SEE ALTKEY 1525209",No,2755059033265,275505903,2012-10-19,3265,,22,2755,059,358332,Active,1200,Lecanto,2013-03-18T13:37:11,,,,Yes,"- Active",No,4,2012-10-19T13:21:50,,No,34446,,Rental,"WELL-MAINTAINED SEASONAL RENTAL - JUST BRING YOUR TOOTHBRUSH! 2/2/1 villa in deed restriced golf course community fully furnished and tastefully decorated. Lg L/R D/r combo with lots of upgrades. Kitchen features granite countertops,dbl sink,lg pantry,D/W and lg breakfast bar that opens to dining area.M/B offers queen bed and steps out to screened lanai overlooking private wooded greenbelt.M/B has walk in shower,guest B.R has full bed and additional sleeper sofa.Guest bath offers tub/shower.Inside laundry with washer and dryer.",,"Other-See Remarks","Other-See Remarks",No,"Other-See Remarks",1460,,"CHINABERRY CIR",71,"Sugarmill Woods",,,,,,,No,No,No,"Other - See Remarks",,,No,1987,
0,,Yes,"- Active",,,No,0,2,4,Homosassa,"Other-See Remarks",,,,Yes,,"Other-See Remarks",,Unfurnished,"Other-See Remarks",,No,,"SEE ALTKEY 2215283",No,2755059033265,275505903,2012-10-19,3265,,22,2755,059,358337,Active,950,Lecanto,2013-05-10T16:00:03,,,,Yes,"- Active",No,3,2013-05-10T16:00:04,,No,34446,,Rental,"4 bedroom, 2 bath, 2 car garage.  Split floor plan and lots of room and an open airy feeling!  Large family room with formal living and formal dining room.  Master bath has large garden tub with separate walk-in shower and large walk in closet.  Backs up to private wooded greenbelt!  Kitchen has large breakfast bar and opens to eat in kitchen and family room. Tenant occupied through October 2012. ",,"Other-See Remarks","Other-See Remarks",No,"Other-See Remarks",2236,,VINCA,27,"Sugarmill Woods",,,,,,,No,No,No,"Other - See Remarks","Other-See Remarks",,No,2005,
0,,Yes,"- Active",,,No,0,2,3,Inverness,"Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,No,,"SEE ALT KEY 1745594",No,2755059033265,275505903,2012-10-22,3265,,03,2755,059,358405,Active,1300,"Other Middle",2013-03-18T13:38:56,,,,Yes,"- Active",No,14,2012-11-12T15:09:41,"Other-See Remarks",No,34450,,Rental,"TENANT OCCUPIED THROUGH 03/31/2013.All inclusive waterfront rental! 3/2 mobile sits on the lake. Large L/R overlooks lake. D/R with wood laminate flooring and formal D/R seats 6. Master has king bed and other guest B/R offers two twin beds.Master bath features jetted garden tub and walk in shower.Flat screen TV,faux fire place,RV pad, covered parking,boat dock,circular drive, lovely back yard with a lazy tree swing for those quiet afternoons.",,"Other-See Remarks","Other-See Remarks",No,"Other-See Remarks",1492,E,"PIKE DR",10298,"East Cove",,,,,,,No,No,No,"Other - See Remarks","Other-See Remarks",,Yes,1990,
0,,Yes,"- Active",,,No,0,1,2,Ozello,"Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,No,,"SEE ALT KEY 1007305",No,2755059033265,275505903,2012-10-29,3265,,18,2755,059,358664,Active,1200,"Other Middle",2013-03-18T13:55:30,,,,Yes,"- Active",No,12,2012-11-12T16:04:58,,No,34429,,Rental,"Fully furnished,all inclusive waterfront living in adorable Key West Cottage feel in quaint little fishing village of Ozello. Lots of history,good fishing,friendly people,very private. 2 B/R, 1 Bath with beautiful views of the canal that leads to the Gulf through the St. Martin's River. Inside washer/dryer. Guest B/R has full size bed, Master B/R has full size bed, L/R has pull out sleeper sofa.Back deck overlooks water view. Perfect to bring your flats boat,kayaks or canoes.",,"Other-See Remarks","Other-See Remarks",No,"Other-See Remarks",744,W,"CAPTAIN CT",14525,"St. Martins Estuary Retreats",,,,,,,No,No,No,"Other - See Remarks","Other-See Remarks",,Yes,1994,
0,,Yes,"- Active",,,No,0,2,2,Homosassa,"Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,No,,"SEE ALT KEY 1523176",No,2755059033265,275505903,2012-10-29,3265,,22,2755,059,358665,Active,750,"Other Middle",2013-03-18T13:56:26,,,,Yes,"- Active",No,14,2012-11-12T16:22:32,,No,34446,,Rental,"AVAILABLE JANUARY 02/2013.furnished and move in ready. Nice enclosed Florida room, Master B/R offers queen bed, guest B/R has twin with sofa. Washer/dryer, pass thru kitchen breakfast bar,large pantry,nice deed restriced,golf community living.",,"Other-See Remarks","Other-See Remarks",No,"Other-See Remarks",1394,,"CHINABERRY CIR",103,"Sugarmill Woods",,,,,,,No,No,No,"Other - See Remarks",,,No,1986,
0,,Yes,"- Active",,,No,0,2,2,"Crystal River","Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,No,,"SEE ALTKEY 1095077",No,2755059033265,275505903,2012-10-22,3265,,21,2755,059,358420,Active,1300,"Other Middle",2013-03-18T13:41:40,,,,Yes,"- Active",No,8,2012-11-09T17:39:25,,No,34428,,Rental,"TENANT OCCUPIED THROUGH 04/20/2013.Dixie Shores waterfront condo! Fully furnished,tastefully decorated.2/2 with inside laundry with washer/dryer.Master B/R has queen size bed and master bath offers walk in shower.  Guest bedroomboasts double bed. Guest bath has tub/shower combo with wood laminate flooring. Kitchen has smooth surface stove,double sink with disposal, D/W and pass thru kitchen countertop. Enclosed Florida room with breath taking view of water. Private boat dock, flat scheen TV's and lots of perks with community pool and tennis courts at no additional charge!",,"Other-See Remarks","Other-See Remarks",No,"Other-See Remarks",1584,W,"BAYSHORE DR",11474,"Bay Villas",,,,,,,No,No,No,"Other - See Remarks","Other-See Remarks",,Yes,1973,
0,,Yes,"- Active",,,No,0,1,3,"Crystal River","Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,No,,"SEE ALT KEY 1070732",No,2755059033265,275505903,2012-10-23,3265,,16,2755,059,358455,Active,1000,"Other Middle",2013-03-18T13:42:56,,,,Yes,"- Active",No,8,2012-11-09T15:47:48,"Other-See Remarks",No,34428,,Rental,"TENANT OCCUPIED THROUGH 02/28/2013. Sit back, relax in this historic 2/1 on large lot withshadedoak trees! Fully furnished.Enjoy the real wood floors and metal roof with cozy,warm furnishings.Screen front porch for summer evenings or cool winter nights.Living room features sofa and futon and gas fireplace.Central heat and a/c,upgraded plumbing and electric.Master B/R features queen bed guest B/R has full bed.Outside open porch on back. Bathroom features step in shower. Close to downtown shopping and waterfront dining.",,"Other-See Remarks","Other-See Remarks",No,"Other-See Remarks",960,,"NE 3RD AVE",1313,"Townsite of Crystal Pk",,,,,,,No,No,No,"Other - See Remarks",,,No,1938,
0,,Yes,"- Active",,,No,0,2,2,Homosassa,"Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,No,,"SEE ALT KEY 1523087",No,2755059033265,275505903,2012-10-22,3265,,22,2755,059,358415,Active,1500,"Other Middle",2013-03-18T13:40:30,,,,Yes,"- Active",No,12,2012-11-09T17:27:17,,No,34446,,Rental,"TENANT OCCUPIED THROUGH 04/15/2013. Cute,clean,comfortable! 2/2/1 Villa with two driveways for extra guests or additional vehicles.Living room/dining room combo with pass thru counter top from kitchen. Screen patio off dining room and lanai off living room. Master B/R boasts queen bed, double closets and private bath. Insidewasher/dryer.Fully furnised and move in ready!Bring your clothes and golf clubs and stay for a season or retire for a lifetime.",,"Other-See Remarks","Other-See Remarks",No,"Other-See Remarks",1485,,"CHINABERRY CIR",85,"Sugarmill Woods",,,,,,,No,No,No,"Other - See Remarks",,,No,1982,
0,,Yes,"- Active",,,No,0,2,2,"Crystal River","Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,No,,"SEE ALT KEY 1096286",No,2755059033265,275505903,2012-10-22,3265,,16,2755,059,358402,Active,1500,"Other Middle",2013-03-18T13:38:30,,,,Yes,"- Active",No,16,2012-11-12T15:42:54,,No,34429,,Rental,"TENANT OCCUPIED THROUGH 03/31/2013. 2/2 condo in Dixie Shores.Fully furnished, move in ready. Available for seasonal rental or long term. Enjoy walking out the back door and fishing from yourdock. Kitchen opens to living room and to back Florida room. Enjoy community pool and tennis courts are no additional fee.",,"Other-See Remarks","Other-See Remarks",No,"Other-See Remarks",1584,W,"KINGFISHER CT",11591,"Bay Villas",,,,,,,No,No,No,"Other - See Remarks","Other-See Remarks",,Yes,1973,
0,,Yes,"- Active",,,No,0,2,2,Homosassa,"Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,No,,"SEE ALTKEY 3544956",No,2755059033265,275505903,2012-10-22,3265,,21,2755,059,358418,Active,1200,"Other Middle",2013-03-18T13:40:58,,,,Yes,"- Active",No,16,2012-11-09T19:51:57,,No,34446,,Rental,"TENANT OCCUPIED THROUGH 04/15/2013.3/2 log home on 5 acres completed fenced.Breathtaking home offers wrap around porch,2 story with loft,wood floors thru out and views from all sides! Bring your horses and enjoy the peace and quiet. Downstairs features mud room with washer/dryer,Open kitchen d/w,microwave,stove, fridge,dbl sink that open to dining area and l/r.Master B/R with queen bed walks into master bath offering walk in closet,double sink and walk in shower.Guest B/R has additional queen size bed. Upstairs has wet bar and guest room with twin bed. Loft overlooks living area downstairs.",,"Other-See Remarks","Other-See Remarks",No,"Other-See Remarks",1384,S,"WILDERMUTH PT",6606,"Rovan Farms",,,,,,,No,No,No,"Other - See Remarks",,,No,2011,
0,,Yes,"- Active",,,No,0,2,2,"Crystal River","Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,No,,"SEE ALTKEY 1095751",No,2755059033265,275505903,2012-10-26,3265,,16,2755,059,358623,Active,1195,"Other Middle",2013-03-18T13:45:56,,,,Yes,"- Active",No,13,2012-11-09T18:03:52,,No,34429,,Rental,"This 2 B/R 2 Bath condo boasts over 1600 sq foot of living!Enjoy care free living in this fully furnished condo with community pool and tennis courts! Flat screen TV in L/R, 32"" TV in Florida room. Lawn maintenance,basic cable and trash included. Both bedrooms offer twin beds. Owner will replace one bedroom with new King bed at tenants request. Enclosed Floirda room, pass thru kitchen bar, dining/living room combo.",,"Other-See Remarks","Other-See Remarks",No,"Other-See Remarks",1584,W,"BAYSHORE DR",11455,"Bay Villas",,,,,,,No,No,No,"Other - See Remarks",,,No,1974,
