AcresTotal,Age,AgentIDX,AgentStatus,AnnInsurance,AnnMgmtExpenses,AnnualExpenses,AnnualTaxes,AnnualUtilities,ApxLandSqft,ApxLotSize,ApxNetLeaseableSqft,AssetSales,AssociationFee,AVMYN,BathsHalf,BathsTotal,Bedrooms,CapRatePercent,City,CompassSuffix,ConstAndFoundation,County,CrossStreetName,CurrentBldgUse,DateChange,Directions,DisplayFlagAddress,DisplayFlagListing,ElementarySchool,EnergyFeatures,ExteriorFeatures,FloodPlainYNU,Floor,GrossIncome,HeatAndCool,HighSchool,HOACOAYN,HomesteadYN,InteriorFeatures,LeaseYN,LegalDescription,LenderOwnedYN,ListAgentAgentID,ListAgentOfficeID,ListDate,ListingAgentID,ListingAgentName,ListingArea,ListingBoardID,ListingFirmID,ListingID,ListingOfficeID,ListingStatus,ListingType,ListPrice,LotDescription,LotDimensions,MiddleSchool,ModificationTimestamp,MonthlyDuesDol,NetIncome,NumOfLoadingDocks,OccupancyDesc,OccupantName,OfficeIDX,OfficeStatus,OtherExpenses,OwnerAgentYN,ParcelNumber,Parking,ParkingTotal,PhotoCount,PhotoModificationTimestamp,PoolPresent,Possession,PostalCode,PropertySubType,PropertyType,PublicRemarks,Rails,RearExposureCode,RoadType,Roof,SewerAndWater,ShortSaleYN,Showing,SpecialInfo,SqFtTotal,StateOrProvince,Stories,StreetDirPrefix,StreetName,StreetNumber,Subdivision,TaxAmount,TaxID,TaxRange,TaxSectionCode,TaxTownship,TaxYear,TermsAvailable,TotalUnits,UnitNumber,VarDualRateCommYN,VirtualTourURL,VirtualTourYN,VOWAVMYN,VOWCommentsYN,WaterFrontage,WaterFrontPresent,WaterType,YearBuilt,Zoning
.13,,Yes,"- Active",,,0,,4985,5929,77X77,4822,"Real Estate",0,No,,,,0,Lecanto,,"Concrete Blk/Stucco",,"Hwy 486","Office,Office Building,Professional",2012-06-11,"Hwy 486 at entrance to Timberlane Estates on corner of Hwy 486 and Prospect Ave.",,Yes,,,"Entry - Ground Level,Landscape - Partial,Lawn Sprinklers,Outdoor Lighting,Window - Dual Pane",No,"Carpet,Ceramic Tile",0,"Cool - Central Air,Heat - Central Electirc",,Yes,No,"200+ Amps,220 Voltage,Ceiling - Tray,Counters - Laminate,Elec - Single Phase,Fire Sprklr - None",,"lenghty see alt key #2480031",No,2755101703,275510170,2012-06-06,3,,08,2755,1017,355927,0,Active,"Excl. Right to Sell",559500,Non-Waterfront,77X77,,2013-04-12T18:04:53,512,,0,Owner,,Yes,"- Active",,Yes,3480031,"Drive - Blacktop,Parking Spaces",40,24,2013-04-12T18:04:53,,"30 Days",34461,,Commercial,"Location, location, location!  Stylish office building featuring reception area, conference rm, 10 offices, break rm, copy rm, file rm & upstairs for more offices.  Plenty of parking and great location between 2 prestigious gated communities. This is a perfect office set-up for any professional or Doctor's office.  Centrally located in the county.  2 adjoining building pads available also.",,,"County,Paved","Asphalt/Fiberglass Shgl","Sewer - Public,Water - Public",No,"Appointment Only,Call List Agent","Brighthouse Cable,Progress Energy,Restrictions",4897,FL,2,N,Prospect,1940,"Not on List",6549,,18,27,18,2011,"Cash,Conventional",1,,No,,No,,,,No,,2007,
1.97,,Yes,"- Active",,,,,,85805,"306 x 280",4421,"Real Estate",,No,,,,3,Hernando,,"Concrete Blk/Stucco",,CR-486,"Office Building,Professional",2011-06-29,"From Inverness, Highway 41 north to CR-486, turn left & proceed West approx. 3 miles, turn right on N. Reston Terrace, office will be on your right.",,Yes,,,"Entry - Ground Level,Fence - Chain,Landscape - Full,Trees",No,"Carpet,Laminate",59568,"Cool - Central Air,Heat - Central Electirc",,No,No,"200+ Amps,110 Voltage",,"Skyland Meadows Unrec Sub Lot 3 Desc in OR BK 1188 PG 39",No,27552430235,27552430,2011-03-20,235,,08,2755,243,348108,0,Active,"Excl. Right to Sell",699000,"Acreage,Corner Lot","306 x 280",,2013-04-18T14:28:34,,,0,Tenant,,Yes,"- Active",,Yes,2371773,"Drive - Blacktop,Drive - Paved,Parking Spaces",64,1,2011-03-21T15:17:27,,"At Close,Subject to Lease",34442,,Commercial,"Commercial office building with 4421 sq. ft. of office space, currently leased by 3 tenants. Subject property is approved for 2 additional office buildings. Pad ""A"" is approved for a 7200 sq. ft. building & Pad ""C"" is approved for a 4800 sq. ft. building. All retention areas have been completed and there are 64 parking spaces. (per site plan)",,S,"County,Paved",Metal,"Sewer - Septic Private,Water - Public",No,"Appointment Only,Call List Agent,Confidential Call Office,Lister Accompany","Seller Prop Disclosure",4921,FL,1,N,"Reston Terrace",2535,,12791,,18,24,18,2010,"Cash,Conventional",3,,No,,No,,,,No,,2006,
1,,Yes,"- Active",,,,,,189,,672,Either,,No,,,,0,Homosassa,,Manuf/Modular,,,Office,2012-04-19,"Suncoast blvd to halls river rd to left on Fishbowl which becomes Yulee property on curve see sign",,Yes,,,"Entry - 1st Upper",Unverified,Carpet,,"Cool - Wall/Window",,No,,"Ceiling - 8ft",,"alternate keys 1149711 &1150493",No,27552660572,27552660,2011-07-15,572,,19,2755,266,350184,0,Active,"Excl. Right to Sell",83500,"Corner Lot",,,2013-02-21T17:23:16,,,,Vacant,,Yes,"- Active",,No,1149711,"Drive - Gravel",,2,2013-02-21T17:23:16,,"At Close",34448,,Commercial,"This is an unusual piece of property on curve good location great place for conv. store owner has the drawing for this. front property is commerical back residential high and dry build your home and have business on road corner of yulee and maincOMMERICAL AND RESIDENTIAL  COMMERICAL ON FRONT RESIDENTIAL IN BACK BUILD YOUR DREAM HOME IN HOMOSASSA THIS PROPERTY DID NOT FLOOD IN 1993Sewer and water available",,E,County,"Metal Shingle","Sewer - Septic Private",No,"Call List Office","Sold As Is",672,FL,1,E,yulee,10518,,800,,,,,2010,"Cash,Conventional",,,No,,,,,,No,,1970,
.65,,Yes,"- Active",,,,,,183,,420,"Bus. & R.E.",,No,,,,0,Homosassa,,"Concrete Block",,Fishbowl,"Building Services,Office Building,Restaurant",2013-05-16,"Us 19 to hALLS rIVER RD TO fISHBOWL TO CORNER OF yU;EE AND fISHBOWL",,Yes,,,Courtyard,Unverified,Concrete,,"Heat - Other",,No,No,"220 Voltage",,"BEG AT SW COR OF SE1/4 OF SW1/4 OF SE1/4 29-19-17, TH N 1 DE G 24M 5S W AL W LN OF SE1/4 OF SW1/4 OF SE1/4 132.42 FT TO P T ON S R/ W LN OF 50 FT WD C",No,27552660572,27552660,2012-10-21,572,,19,2755,266,358764,0,Active,"Excl. Right to Sell",209900,Irregular,,,2013-05-16T15:47:48,,,,Vacant,,Yes,"- Active",,No,1142326,"Drive - Circular,Drive - Paved",,3,2013-04-21T16:31:29,,"At Close",34448,,Commercial,"Lots of uuses great for bait and tackle plus whatever our fisherman needs. sandwiches. chips many many more great stainless steel equipment",,W,County,"Asphalt/Fiberglass Shgl","Water - Public",No,"Call List Office,Lockbox","Brighthouse Cable",420,FL,1,W,Yulee,10317,,2129,,,,,2011,"Cash,Conventional,Owner Finance",,,No,,,,,,No,,1980,
.52,,Yes,"- Active",,,,,,22680,"135 x 168",768,"Real Estate",,No,,,,0,Lecanto,,"Other See Remarks",,"S.Lecanto Hwy - (491)",Vacant,2012-10-31,"From the west: HWY 44E to (R) on HWY 491 (Lecanto HWY) to (L) on Postal Lane - property on (R)From the east: HWY 44W to (L) on HWY 491 (Lecanto HWY) to (L) on Postal Lane - property on (R)",,Yes,,,"Landscape - Full,Porch - Screened",No,"Other See Remarks",,"Heat - Other",,No,,"Fire Sprklr - None",,"TOWN OF LECANTO E1/2 OF LOT 26 & ALL OF LOTS 27 & 28 DESCR IN O R BK 615 PG 1708",No,2755059048,27550590,2011-10-31,48,,23,2755,059,352041,0,Active,"Excl. Right to Sell",150000,"2+ Lots,Corner Lot,Flat,Rectangle","135 x 168",,2013-01-08T22:22:50,,,,Vacant,,Yes,"- Active",,No,1502225,"Other See Remarks",,6,2011-11-02T19:33:25,,"At Close",34461,,Commercial,"Building/home & real estate with Commercial land use (GNC). 2 & 1/2 lots - just over 1/2 acre. The building/home is positioned on one & one half lots.  Lot 28 is on the corner & unimproved.  Could be used for additional parking or possibly another building if you can meet county setbacks. Many many possible commercial uses. Located behind Circle K which fronts HWY 44 & Zona Longs Bail Bonds that fronts HWY 491. This 2BR/1BA Cracker style home built in 1945 offers loads of potential with the current land use.",,S,Paved,Metal,"Sewer - Septic Private,Water - Private Well",No,"Call List Office,Lockbox Call,Vacant","Seller Prop Disclosure,Sold As Is,Title Insurance",768,FL,1,W,"Postal Lane",3214,"Not on List",907,,18,4,19,2012,"Cash,Conventional",,,No,,,,,,No,,1945,
.37,,Yes,"- Active",,,,,,16000,"100 x 160",967,"Real Estate",0,No,,,,0,Inverness,,Frame/Stucco,,"Highlands Blvd","Hair/Nail Salon",2013-05-10,"From the old courthouse:  Head west on 44 (towards Crystal River) and turn left (south) on Seminole to property on your left.",,Yes,,,"Fence - None,Porch - Screened,Other See Remarks",Unverified,"Wood,Other See Remarks",,"Cool - Central Air,Heat - Central Electirc",,No,No,"110 Voltage,Ceiling - 8ft,Counters - Pass Thru,Decorator Lights,Fireplace - Wood",,"INDIAN HILL PB 2 PG 13 LOT 4 & Lot 5 BLK 93 - Alternate Key numbers are:  1758874 & 1758882",No,2755059044,27550590,2013-05-08,44,,07,2755,059,702880,0,Active,"Excl. Right to Sell",140000,"2+ Lots,Flat","100 x 160",,2013-05-11T13:43:23,0,,,Owner,,Yes,"- Active",,No,1758882,"Drive - Paved,Private Lot",,18,2013-05-11T13:42:52,,"At Close,Negotiable",34452,,Commercial,"Historic downtown location that offers unlimited possibilities for a variety of uses including accountants, attorneys, engineers, architects, physicians, surgeons, etc. Close proximity to both downtown & the hospital. Fantastic condition with two large rooms, gleaming wood floors, decorative lighting and more.  Ample parking in rear of building plus overflow parking in adjacent lot that's included.  Move-in condition and ready for immediate occupancy. Our market is changing...buy now while the prices are low.",,E,Paved,"Asphalt/Fiberglass Shgl","Sewer - Public,Water - Public",No,"Call List Agent,Call List Office,Other See Remarks","Brighthouse Cable,High Speed Internet,Pets Allowed,Seller Prop Disclosure,Sold As Is",1471,FL,1,S,Seminole,211,"Indian Hills",3356,,,,,2012,"Cash,Conventional",,,No,,No,,,,No,,1929,
.62,,Yes,"- Active",2000,,,,600,27000,"100' X 270'",5448,"Bus. & R.E.",,,,,,0,Inverness,,"Concrete Blk/Stucco,Foundation - Slab",,"Inverness Blvd.","Office Building,Professional,Strip Mall",2013-01-08,"US HIghway 41 South from downtown Inverness, go past traffic light at Eden Drive and follow to building on right.",No,Yes,,,"Entry - Ground Level,Fence - Chain,Fence - Partial",Unverified,"Carpet,Vinyl",,"Cool - Central Air,Heat - Central Electirc",,No,No,"Ceiling - Standard",,"INVERNESS HGLDS SOUTH PT LYING IN CITY OF INVERNESS PT OF LOTS 28, 29, 30, 31, 112, 113, 114 & 115 BLK 201 LYING IN CITY LIMITS DESC IN OR BK 744 PG 2",No,275536601188,27553660,2008-12-23,1188,,07,2755,366,331369,0,Active,"Excl. Right to Sell",450000,"2+ Lots,Rectangle","100' X 270'",,2013-01-08T18:08:57,,,,Tenant,,Yes,"- Active",850,No,3232406,"Drive - Blacktop,Drive - Paved,Parking Spaces",,5,2008-12-23T23:42:57,,"At Close",34450,,Commercial,"Excellent strip mall location. 5 finished office suites and 1 partially finished office total of 4160 sq. ft. Also includes an unattached separate office building with 1815 sq. ft. for any large business.Also includes a chain link area for vehicles or supplies. With a new 4 lane highway in front and front and back access to offices and separate building, this is a great investment opportunity for any investor.",,W,"Federal,Paved","Asphalt/Fiberglass Shgl","Sewer - Public,Water - Public",No,"Appointment Only,Call List Agent,No Sign","High Speed Internet,Sold As Is,Sumter Electric,Title Insurance",6010,FL,1,S,"HWY 41",850,"Inverness Highlands South",4279.07,,20,21,19,2012,"Cash,Conventional,Owner Finance",7,,No,,No,No,No,,No,,1981,
.91,,Yes,"- Active",3000,,,,,40000,"100' X 400'",6036,"Real Estate",,No,,,,0,Lecanto,,"Concrete Block,Steel",,"Norvell Bryant Hwy. (486)","Florist,Self Storage",2013-02-13,"Turn right or north off Norvell Bryant Hwy. (486) approx. 3rd property on right.",,Yes,,,"Fence - Chain,Fence - Partial",Unverified,"Ceramic Tile,Concrete,Vinyl",25200,"Cool - Central Air,Heat - Central Electirc,Heat - Heat Pump",,No,,"200+ Amps,Ceiling - 8ft,Ceiling - Standard",,"Crystal River Country Estates PB 7 PG 147 Lot 89",No,275536601188,27553660,2009-08-01,1188,,12,2755,366,335880,0,Active,"Excl. Right to Sell",599000,Rectangle,"100' X 400'",,2013-02-13T18:37:36,,,,Tenant,,Yes,"- Active",,No,1490189,"Drive - Blacktop,Drive - Paved,Parking Spaces",,5,2010-08-09T19:03:01,,"60+ Days",34461,,Commercial,"Prime Commercial Property. Location, Location, Location! It doesn't get any better than this. 1 building being used as Florist Shop. 1 Storage building in rear (24) units. 19 are rented & owner & tenant use other 5. Close to main intersection and a tremendous amount of traffic on Hwy. frontage.",,E,State,"Asphalt/Fiberglass Shgl,Metal","Sewer - Public,Water - Public",No,"Appointment Only,Call List Agent,Call List Office,Confidential Call Office,Owner Occupied","Warranty - None",1236,FL,1,N,"Lecanto Hwy.",2089,"Crystal River Country Est.",2879.4,,18,22,18,2012,"Cash,Conventional",25,,No,,No,,,,No,,1984,
1.32,,Yes,"- Active",,,,2342,3368,57600,"240  x240",1115,"Bus. & R.E.",,No,,,,11.4,"Floral City",,"Concrete Block,Foundation - Slab",,,"Service Station",2013-01-06,"Hwy. 41 South past traffic light in Floral City approx. 1 mile on right.",,Yes,,,"Entry - Ground Level",Unverified,Concrete,90870,"Cool - None,Heat - None",,No,,"Ceiling - Standard",,"See Alternate Key s 1854598 & 2379359",No,275536601188,27553660,2011-07-01,1188,,05,2755,366,349976,0,Active,"Excl. Right to Sell",199900,"Acreage,Rectangle","240  x240",,2013-02-11T14:36:59,,,,Owner,,Yes,"- Active",,No,1854598,"Drive - Blacktop",,8,2013-02-11T14:36:59,,"At Close",34436,,Commercial,"Fantastic commercial location! Station is now closed.Very successful family owned and operated for 37 years.Auto repair available with lift and compressor in working condition.Two mobiles in sale can be rented for additional income.This commercial property is 1.3 acres(mol) and is zoned for many different uses. I have the contact for zoning as to all the business options.Tanks have been filled with foam and closed off.",No,W,State,"Asphalt/Fiberglass Shgl,Metal","Sewer - Septic Private,Water - Public",No,"Appointment Only,Call List Agent,Call List Office","Progress Energy,Sold As Is",170,FL,1,S,"Florida Ave",8350,,2011.03,,20,15,20,2012,"Cash,Conventional",,,No,,No,,,,No,,1950,
0,,Yes,"- Active",,,,,,0,,6940,"Real Estate",0,No,,,,0,Inverness,,"Brick,Frame,Vinyl Siding,Foundation - Slab",,,Office,2013-01-04,"Downtown on courthouse square",,Yes,,,"Entry - Ground Level",Unverified,"Carpet,Laminate",,"Cool - Central Air,Cool - Central Electric",,No,No,"Ceiling - Standard",,"AK#'s  1756863, 2375302, 1756880",No,27551430146,27551430,2013-01-04,146,,07,2755,143,700063,0,Active,"Excl. Right to Sell",685000,"2+ Lots,Irregular",,,2013-01-30T18:27:02,0,,,Tenant,,Yes,"- Active",,No,1756863,"Drive - Paved,Parking Spaces,Public Lot,Shared Parking,Street Parking",,8,2013-01-04T20:47:58,,"At Close,Subject to Lease",34450,,Commercial,"Prime location & a rare find. 6 commercial rental units in the heart of Historic Downtown Inverness. Across the street from the County Courthouse. This area is the hub of business for Citrus County. Tenants are an attorney, international import/export business, bail bonds, doctor, State of Florida & insurance business. Great opportunity for owner occupant or full rental use. This size parcel does not come available very often in the center of downtown. Excellent rental history. Recently reduced plus Owner will finance. Offering $250,000 down, 5% int, 20 year amortization & 10 year balloon.Different ages for the differenct parcels, well maintained by owner.",,,County,"Other See Remarks","Sewer - Public,Water - Public",No,"Appointment Only","High Speed Internet,Multi-Locations,Title Insurance",6940,FL,1,N,"Apopka Ave",103,,10799.83,,,,,2011,"Cash,Conventional,Owner Finance",6,,Yes,,,,,,No,,1950,
.34,,Yes,"- Active",,,,,,0,208X125,1507,"Bus. & R.E.",,No,,,,0,"Crystal River",,"Wood Siding",,,"Other See Remarks",,"From the intersection of Hwy 44 and US 19 turn Left on Hwy 19 to NE 2nd Street turn Rt on NE 2nd Street.First two homes on the Rt.Look for sign.",,Yes,,,"Patio - Covered,Shed/Utility Bldg",Unverified,"Carpet,Laminate",,"Cool - Central Electric,Heat - Central Electirc",,No,No,"220 Voltage,Ceiling - Standard,Counters - Laminate,Fireplace - Wood,Inside Laundry,Pull Down Stairs",,"BAYVIEW HOMES CO 1ST ADD TO CRYSTAL RIVER LOTS 92 & 93 DESC IN OR BK 114 PG 409",No,27550860260,27550860,2013-06-03,260,,16,2755,086,703306,0,Active,"Excl. Right to Sell",220000,"2+ Lots,Flat",208X125,,2013-06-03T18:51:43,,,,Owner,,Yes,"- Active",,No,1076641,"Drive - Circular,Drive - Concrete",,6,2013-06-03T18:51:43,,"At Close",34429,,Commercial,"Great opportunity in the heart of Crystal River!!  Just off US 19. Two homes on 3 1/2 lots zoned HIGH INTENSITY COMM.Resid/comb,Offices,Restaurants,   Stores etc...Homes need some TLC.Description in listing is for the white house.Both are 3/2. 2nd home Sq ft LA is 1472 ft and Taxes for 2011 were $1404. Alt Key# 2442441 Owner needs to sell them together they are part of an Estate.Homes sold ""As IS"" With Right to Inspect.Brown House has furniture stored in it.In cleaning process.  OWNER OCCUPIED/Dog in white house",,,Paved,"Asphalt/Fiberglass Shgl","Sewer - Public,Water - Public",No,"Call List Agent,Owner Occupied","Small Pets Allowed,Sold As Is",1507,FL,1,NE,2nd,463,,1318,,,,,2012,"Cash,Conventional",,,No,,No,,,,No,,1930,
1.6,,Yes,"- Active",,,,,,70000,200x350,2600,"Bus. & R.E.",,No,,,,0,Hernando,,"Concrete Blk/Stucco",,,"Bar/Tavern,Restaurant",,"North on S.R. 200 out of Hernando to property on Right. NO sign.",,Yes,,,"Fence - Partial,Fence - Wood",Unverified,Carpet,,"Cool - Central Air,Heat - Central Electirc",,No,No,"200+ Amps,Elec - Single Phase",,"Parcel 23330 S-02 T-18S R-19E Citrus County",No,27551060124,27551060,2011-08-19,124,,01,2755,106,350741,0,Active,"Excl. Right to Sell",900000,"Acreage,Rectangle,Waterfront",200x350,,2013-04-02T20:52:50,,,,Owner,,Yes,"- Active",,No,1587263,"Boat Parking,Drive - Paved,Parking Spaces,Paved Area",,10,2013-04-02T20:51:48,,"At Close",34442,,Commercial,"OPEN WATERFRONT-RESTAURANT-LOUNGE-LIQUOR LICENSE-LOG HOME-ESTABLISHED BUSINESS-1.6 ACRES-30 min. from Ocala-Customers come by Boat & Car. Just bring your Expertise, the Assets are Here.  Shown by Appointment Only Please.",,E,"Paved,State","Asphalt/Fiberglass Shgl","Sewer - Septic Private,Water - Private Well",No,"24 Hour Notice,Appointment Only,Call List Agent,Call List Office,No Sign,Owner Occupied","Progress Energy,Seller Prop Disclosure,Sold As Is",3900,FL,1,N,"Carl G. Rose Hwy S.R. 200",5823,"Not on List",3000,,19E,02,18S,2010,"Cash,Conventional,Owner Finance",,,No,,,,,200,Yes,"Lake,Open Water View",1983,
1.5,,Yes,"- Active",,,,,,64500,215x300,0,"Real Estate",0,No,,,,0,Hernando,,"Concrete Block,Frame,Manuf/Modular,Vinyl Siding,Wood Siding",,"Viaduct/SR 200","Office Building,Professional",2013-01-05,"North on SR 200 (Carl G. Rose Hwy.) approx. 1/4 mile from US 41 intersection, property on left.",,Yes,,,"Entry - Ground Level,Fence - Partial,Landscape - Partial,Outdoor Lighting",Unverified,"Carpet,Wood",,"Cool - Central Air,Cool - Central Electric,Heat - Central Electirc,Heat - Heat Pump",,No,No,"220 Voltage,Ceiling - 8ft,Ceiling - Standard,Elec - Single Phase,Handicap Modified",,"Lenghtly-call LO/LA",No,27551060124,27551060,2011-07-19,124,,01,2755,106,350260,0,Active,"Excl. Right to Sell",395000,"2+ Lots,Acreage,Corner Lot",215x300,,2013-01-07T14:10:56,0,,,Owner,"Owner & tenants",Yes,"- Active",,Yes,1611989,"Drive - Paved,Parking Spaces,Paved Area",,6,2013-01-07T14:09:35,,"At Close,Negotiable",34442,,Commercial,"OWNERS READY TO DOWNSIZE-NOT RETIRE-POSSIBLE LEASEBACK AGREEMENT TOO-1.5 ACRES COMMERCIAL & OVER 200' HIGHWAY FRONTAGE WITH COUNTY PAVED ROAD FRONTAGE ON OTHER 2 SIDES-PACKAGE INCLUDES OFFICE BUILDING-2 HOUSES-A DUPLEX-1 MOBILE HOME-ALL ON GNC CORNER PARCEL. ALL UNITS ON CENTRAL COUNTY WATER & CENTRAL SEWER AVAILABLE.  GREAT HIGHWAY EXPOSURE/TRAFFIC COUNT. SELLERS ARE FL. LICENSED REAL ESTATE BROKER & ATTORNEY.",,W,"Paved,State","Asphalt/Fiberglass Shgl","Sewer - Septic Private,Water - Public",No,"24 Hour Notice,Appointment Only,Call List Agent,Call List Office,Lister Accompany,Owner Occupied","Brighthouse Cable,High Speed Internet,Owner Owns Property,Progress Energy",0,FL,1,N,"Carl G Rose Hwy-S.R.200",3088,"Not on List",4700,,19E,23,18S,2010,"Cash,Conventional,Owner Finance",5,,No,,No,,,,No,,1952,
2.03,,Yes,"- Active",,,,,,88322,"2.03 ac",15420,"Real Estate",,No,,,,0,Homosassa,,"Concrete Block",,,"Other See Remarks",2012-10-04,"Hwy 19 just north of Homosassa Trail. Appointment required.",,Yes,,,"Other See Remarks",Unverified,"Other See Remarks",,"Cool - Central Air,Heat - Central Electirc",,No,,"200+ Amps",,,No,27552800622,27552800,2010-11-07,622,,23,2755,280,345699,0,Active,"Excl. Right to Sell",1599000,Flat,"2.03 ac",,2012-12-12T16:17:37,,,,Vacant,,Yes,"- Active",,No,1123496,"Parking Spaces",,10,2012-12-12T16:17:37,,"At Close",34446,,Commercial,"Former Neffer's Bowling/Entertainment Center. 15000 sq ft facility. Bowling alley, restauraunt/bar. All equipment including liquor license as long as bowling is utilized. All this sitting on over 2 acres of GNC zoned property. 300ft on US Hwy 19.Don't hesitate to check out and make an offer.",,,Federal,"Other See Remarks","Sewer - Septic Private,Water - Public",No,"24 Hour Notice,Appointment Only,Call List Agent","Sold As Is",15420,FL,1,,"S Suncoast Blvd",3655,,11650,,,,,2011,"Cash,Conventional,Exchange Considered",,,No,,,,,,No,,1977,
.75,,Yes,"- Active",,,,,,32400,"108 x 300",770,Either,,No,,,,0,Hernando,,"Manuf/Modular,Foundation - Crawl Space",,,Vacant,2012-04-25,"US Hwy 19 to East Gulf to Lake Highway to 486, go past Citrus Hills to parcel on left, 1325 E. Norvell Bryant Hwy.",,Yes,,,"Entry - 1st Upper,Fence - Chain,Shed/Utility Bldg,Trees,Window - Sgl. Hung",Unverified,Vinyl,,"Cool - Wall/Window,Heat - Heat Pump",,No,,"Ceiling - 8ft,Counters - Laminate",,"Hercala Acres Unit No 2 PB 8 PG 16 Lot 4 of Unrec Sub of Lots 47 & 48 - Lengthy Legal",Yes,275569203233,27556920,2012-02-24,3233,,08,2755,692,354079,0,Active,"Excl. Right to Sell",76000,"Flat,Non-Waterfront,Rectangle","108 x 300",,2013-01-14T13:29:00,,,,Vacant,,Yes,"- Active",,No,2274298,"Drive - Paved,Unpaved Area",,8,2012-05-08T17:20:54,,"At Close",34442,,Commercial,"Bank Owned Commercial Property! Single wide mobile home and metal building on this .75 acre flat lot on Norvell Bryant Highway (486) in Hernando.  Zoned GNC.  1400 sq.ft. metal building included.  Great location on the east side of Mango's Restaurant.  High traffic count.  Being Sold ""AS IS"".",,,"County,Paved","Asphalt/Fiberglass Shgl","Sewer - Other,Water - Other",No,"Call List Agent,Lockbox Call,Vacant","Sold As Is,Warranty - None",770,FL,1,E,"NORVELL BRYANT HIGHWAY",1325,"Hercala Acres",1045.47,,19,28,18,2011,"Cash,Conventional",,,No,,,,,,No,,1983,
.77,,Yes,"- Active",,,,,,33500,"100 x 335",5520,"Real Estate",,No,,,,0,Lecanto,,"Steel,Foundation - Slab",,Southern,Automotive,,"From Hwy 491 Intersection, go west on Hwy 44 approximately 2 miles on the left look for Southern Road just past Southern Living Furniture, NO SIGN ON THE PROPERTY.",,Yes,,,"Entry - Ground Level,Fence - Chain",No,Concrete,,"Cool - Wall/Window,Heat - Zoned",,No,No,"200+ Amps,220 Voltage,Ceiling - 24+ft,Elec - 3 Phase,Fire Sprklr - None",,"Lengthy Legal - See Alt Key # 2998024",No,275569203233,27556920,2012-11-26,3233,,23,2755,692,359175,0,Active,"Excl. Right to Sell",220000,"Flat,Non-Waterfront,Rectangle","100 x 335",,2012-11-27T13:09:33,,,,Owner,,Yes,"- Active",,No,2998024,"Drive - Blacktop,Parking Spaces",,5,2012-11-27T13:09:33,,"At Close",34461,,Commercial,"Well insulated 5,500 sq. ft. steel building zoned industrial and currently being used as an auto repair shop.  20 x 36 air conditioned office. High traffic count.  Just under one acre.  Property has multiple uses.",,S,"County,Paved",Metal,"Sewer - Public,Water - Public",No,"Appointment Only,Call List Agent,Owner Occupied","Sold As Is,Withlacooche Electric",5520,FL,1,W,"GULF TO LAKE HWY",4288,,2502.32,,,,,2011,"Cash,Conventional",,,No,,No,,,,No,,1999,
2.03,,Yes,"- Active",,,,,,88427,"2.03 Acres",2821,"Real Estate",,No,,,,0,Inglis,E,"Vinyl Siding",,"Shearer Street",Vacant,,"North on US HWy 19 to Inglis, go East on Hwy 40 to property on the left.  The north west corner of Hwy 40 and Shearer St.",,Yes,,,"Entry - Ground Level,Fence - Chain",Unverified,Concrete,,"Cool - None,Heat - None",,No,,"110 Voltage,Ceiling - 16ft",,"02-17-16 Casons Inglis Acres Unit 6 BLK B Lot 30 OR Bk 1287 Pg 166 AND Casons Inglis Acres Unit 6 BlK B Lot 31 OR Bk 1287 Pg 166 Parcel #1293900000",No,275569203233,27556920,2013-04-22,3233,,25,2755,692,702869,0,Active,"Excl. Right to Sell",84000,"Acreage,Corner Lot,Flat","2.03 Acres",,2013-05-09T19:03:20,,,,Vacant,,Yes,"- Active",,No,1293800000,"Drive - Private,Drive - Unpaved,Storage",,7,2013-05-09T19:03:20,,"At Close",34449,,Commercial,"Bank Owned Property.  This property consist of two parcels with one warehouse building and two mobile homes.  This is an opportunity to operate a business and also live on the same property or rent the mobile homes out.  Call Listing Sales Person for details.",,,"County,Paved","Asphalt/Fiberglass Shgl","Sewer - Septic Private,Water - Public",No,"Call List Agent,Lockbox Call,Vacant","Sold As Is,Warranty - None",2821,FL,1,,"HIGHWAY 40",297,"Cason Inglis Acres",2412.52,,,,,2012,"Cash,Conventional",,,No,,,,,,No,,1978,
.17,,Yes,"- Active",,,,,,7500,"50 x 150",720,"Real Estate",,No,,,,0,Dunnellon,,"Concrete Blk/Stucco",,,Vacant,,"US 41 Turns into Williams St in Dunnellon.   east side to sign.",,Yes,,,"Fence - Chain",Unverified,Wood,,"Cool - Central Electric,Heat - Central Electirc",,No,,"Ceiling - 8ft",,"Plat Book A Page 174, Lot 1225",No,27559580870,27559580,2013-04-09,870,,25,2755,958,702181,0,Active,"Excl. Right to Sell",79000,Non-Waterfront,"50 x 150",,2013-04-26T15:41:45,,,,Vacant,,Yes,"- Active",,No,3380-122-500,"Drive - Blacktop",,10,2013-04-26T15:41:45,,"At Close",34432,,Commercial,"Opportunity arises to launch a small business at an affordable price.  Great traffic count on Hwy 41 in the heart of Dunnellon.  Excellent exposure and location.",,,"Federal,Paved","Asphalt/Fiberglass Shgl","Sewer - Public,Water - Public",No,"Call List Agent,Lockbox,Vacant","Owner Owns Property",720,FL,1,N,"Williams St",11759,,758,,,,,2012,"Cash,Conventional",,,No,,,,,,No,,1974,
