AcresTotal,AgentIDX,AgentStatus,ApxLotSize,AssociationFee,AvailableUtilities,AVMYN,Buildings,City,CommunityAmenities,CompassSuffix,CondoFeeIncludes,County,CrossStreetName,DateChange,DateDeleted,Directions,DisplayFlagAddress,DisplayFlagListing,ElementarySchool,Fencing,FloodPlainYNU,HighSchool,HOACOAYN,HomesteadYN,LandUseDesc,LeaseYN,LegalDescription,LenderOwnedYN,ListAgentAgentID,ListAgentOfficeID,ListDate,ListingAgentID,ListingAgentName,ListingArea,ListingBoardID,ListingFirmID,ListingID,ListingOfficeID,ListingStatus,ListingType,ListPrice,LotDescription,LotDimensions,MiddleSchool,ModificationTimestamp,MonthlyDuesDol,OfficeIDX,OfficeStatus,OnSiteUtilities,OwnerAgentYN,ParcelNumber,PhotoCount,PhotoModificationTimestamp,Possession,PostalCode,PropertySubType,PropertyType,PublicRemarks,RearExposureCode,Restrictions,RoadFrontage,RoadType,SewerAndWater,ShortSaleYN,Showing,SpecialInfo,StateOrProvince,StatusChangeDate,StreetDirPrefix,StreetName,StreetNumber,Subdivision,TaxAmount,TaxID,TaxRange,TaxSectionCode,TaxTownship,TaxYear,TermsAvailable,VarDualRateCommYN,VirtualTourURL,VirtualTourYN,VOWAVMYN,VOWCommentsYN,WaterFrontage,WaterFrontPresent,WaterType,Zoning
.5,Yes,"- Active",26130,,"Other See Remarks",No,None,"Spring Hill",,,,,,2013-04-09,,"Spring Hill Road to south on Waterfall to left on Annapolis. Lot on left.",Yes,Yes,,"Other See Remarks",Unverified,,No,No,"Single Family Residential",,"Spring Hill Unit 6 Block 293 Lot 29",Yes,275538101297,27553810,2013-04-06,1297,,27,2755,381,702189,0,Active,"Excl. Right to Sell",12000,Wooded,26130,,2013-04-09T19:51:55,,Yes,"- Active","Other See Remarks",No,00251952,2,2013-04-09T19:51:55,"At Close",34608,,"Vacant Land","Great oversized 1/2 acre lot in very nice community. Buy and build while there are no impact fees in Hernando County.",,,,"County,Paved","Sewer - Other,Water - Other",No,"Call List Agent,Go There",,FL,2013-04-09,,Annapolis,0,,283,,,,,2012,"Cash,Conventional",No,,,Yes,Yes,,No,,
.5,Yes,"- Active",,,"Other See Remarks",No,None,"Floral City",,,,,,2013-05-21,,"Old Floral City Road to East on Beacon",Yes,Yes,,,Unverified,,No,,"Mobile Home,Single Family Residential",,"BEACON SQUARE UNREC SUB LOT 2: W 124.75 FT OF E 249.50 FT O F N 174.75 FT OF S1/2 OF NW1/4 OF SE1/4 OF SEC 3-20-20 DES C IN OR BK 892 PG 1021 OR BK 22",No,275538101297,27553810,2013-05-09,1297,,04,2755,381,703075,0,Active,"Excl. Right to Sell",9999,Flat,,,2013-05-21T18:03:54,,Yes,"- Active",Underground,No,1846382,1,2013-05-21T18:02:11,"At Close",34436,,"Vacant Land","Great .50 acre lot in Floral City, ready to build. Check it out. Wooded around the perimeter for privacy but open in the center for your new home. City water, existing septic tank may be usable, existing underground power, and potentially a full impact fee credit. Mobiles or site built homes OK.",,"Other See Remarks",,"County,Paved","Sewer - Septic Private,Water - Public",No,"Call List Agent,Go There","Sold As Is",FL,2013-05-21,E,Beacon,8611,,207,,,,,2011,"Cash,Conventional",No,,No,Yes,Yes,,No,,
.75,Yes,"- Active",Irreg,0,"Cable TV,Electric-SECO,Public Water,Telephone",No,None,Inverness,,,,,"Old Floral City Rd",2013-01-25,,"41S, L on Gobbler, cross OFC Rd, parcel on right before the bridge.",Yes,Yes,,,Unverified,,No,No,"Single Family Residential",,"Warnocks Live Oak Park Lot 24 Less R/W",No,2755086095,27550860,2013-01-25,95,,04,2755,086,700530,0,Active,"Excl. Right to Sell",83000,"Rectangle,Room for Pool,Waterfront,Wooded",Irreg,Inverness,2013-01-25T17:02:20,0,Yes,"- Active",None,No,3224163,1,2013-01-25T17:00:51,"At Close",34450,,"Vacant Land","Towering oaks and cypress trees shout ""Florida!"".  A spectacular open water view and endless hours of good fishing will entice you to this fabulous homesite.  As an added bonus, the adjacent parcel(#23 - MLS #345669)is also available for sale giving you double-your-pleasure, double-your-fun. Feeling remote, yet close enough to town for convenience and a stone's throw from our 46-mile Rails-To-Trails.",S,,,"County,Paved","Sewer - Septic Private,Water - Public",No,"Go There","Brighthouse Cable,Sumter Electric,Title Insurance",FL,2013-01-25,E,"Gobbler Drive",9426,"Warnocks Live Oak Park",878,,,,,2011,"Cash,Conventional",No,,,No,No,,Yes,"Lake,Open Water View",
.91,Yes,"- Active","200 x 200",0,"Electric-Progress Energy,Telephone",No,None,Hernando,,,,,"Parking Ter",2013-02-04,,"41N to left on Overdrive.  Proceed to the corner of Parking Ter.",Yes,Yes,,Chain,No,,No,No,Agri/Industrial,,"CITRUS INDUSTRIES INDUSTRIAL PARK PB 13 PG 145 LOT 31 TITLE IN OR BK 1034 PG 1243",No,2755086095,27550860,2013-02-01,95,,08,2755,086,700782,0,Active,"Excl. Right to Sell",45000,"Corner Lot,Flat","200 x 200",,2013-02-04T20:03:15,0,Yes,"- Active",None,No,2927976,1,2013-02-04T20:03:15,"At Close",34442,,"Vacant Land","This handsome industrial park is home to several businesses.  The corner acre is fenced on 3 sides and is adjacent to 6128 N. Parking Ter (MLS #700776 which is a steel warehouse with living quarters).",,,,"County,Paved","Sewer - Septic Private,Water - Private Well",No,"Go There","Progress Energy,Seller Prop Disclosure,Title Insurance",FL,2013-02-04,E,"Overdrive Cir",1007,"Citrus Industrial Park",658,,,,,2012,"Cash,Conventional",No,,,No,No,,No,,
.75,Yes,"- Active",Irreg,0,"Cable TV,Electric-SECO,Public Water,Telephone",No,None,Inverness,,,,,"Old Floral City Rd",2013-01-25,,"41S, L on Gobbler, cross OFC Rd, parcel on right before the bridge.",Yes,Yes,,,Unverified,,No,No,"Single Family Residential",,"Warnocks Live Oak Park Lot 23 Less R/W",No,2755086095,27550860,2013-01-25,95,,04,2755,086,700529,0,Active,"Excl. Right to Sell",75000,"Rectangle,Room for Pool,Waterfront,Wooded",Irreg,Inverness,2013-01-25T16:55:49,0,Yes,"- Active",None,No,3224151,1,2013-01-25T16:54:49,"At Close",34450,,"Vacant Land","Towering oaks and cypress trees shout ""Florida!""  A spectacular open water view and endless hours of good fishing will entice you to this fabulous homesite.  As a added bonus, the adjacent parcel (#24 - MLS #345667) is also available for sale, giving you double-your-pleasure, double-your-fun. Feeling remote, yet close enough to town for convenience and a stone's throw from our 46-mile Rails-To-Trails.",S,,,"County,Paved","Sewer - Septic Private,Water - Public",No,"Go There","Brighthouse Cable,Sumter Electric,Title Insurance",FL,2013-01-25,E,"Gobbler Drive",9446,"Warnocks Live Oak Park",1025,,,,,2011,"Cash,Conventional",No,,,No,No,,Yes,"Lake,Open Water View",
1,Yes,"- Active",1,,"Cable TV,Electric-Progress Energy,Public Water,Septic Sewer,Telephone",No,"Other See Remarks","Beverly Hills","Near Shopping",,,,"SR 491",2012-07-12,,"SR491 N, L on Mustang, lot is on left.",Yes,Yes,,,No,,No,,"Single Family Residential",,"PINE RIDGE UNIT 3 PB 8 PG 51 LOT 6 BLK 311",No,2755086095,27550860,2012-07-06,95,,14,2755,086,356464,0,Active,"Excl. Right to Sell",22000,"Flat,Room for Pool",1,Lecanto,2013-02-20T18:30:12,0,Yes,"- Active","Electric-Progress Energy,Public Water,Telephone",No,3301206,1,2013-02-20T18:30:12,"At Close",34465,,"Vacant Land","Beautifully wooded building site conveniently located within the vast community of Pine Ridge yet so near shopping and services. Pine Ridge is both a golf (18-hole course and clubhouse) and equestrian community and though this homesite is not zoned for a horse, there is a stable, pastures and riding trails.",,"Deed Restrictions",,"County,Paved","Sewer - Septic Private,Water - Public",No,"Go There","Brighthouse Cable,Golf Community,High Speed Internet,Pets Allowed,Progress Energy,Restrictions,Title Insurance",FL,2013-02-20,W,"Mustang Blvd.",2332,"Pine Ridge",283.34,,18,15,18,2011,"Cash,Conventional",No,,,No,No,,No,,
1.47,Yes,"- Active","1.47 acres",0,"Cable TV,Electric-Progress Energy,Septic Sewer,Telephone",No,None,Hernando,"Near Shopping",,,,Thatcher,2012-07-13,,"41N, L on 486W, R on Thatcher, L on Amberjack to sign on right.",Yes,Yes,,,Unverified,,No,,"Mobile Home,Single Family Residential",,"Hercala Acres Unit 2 PB 8 PG 16 Tract 3:E 1/3 of Lot 13",No,2755086095,27550860,2012-07-06,95,,08,2755,086,356462,0,Active,"Excl. Right to Sell",13900,"Rectangle,Room for Pool,Wooded","1.47 acres",Inverness,2013-02-20T18:29:11,0,Yes,"- Active",None,No,1621801,1,2013-02-20T18:29:12,"At Close",34442,,"Vacant Land","Running parellel with  SR486, Amberjack Drive provides a world apart from the hustle and bustle, and yet so conveniently located. You'll be surrounded with site-built homes as well as mobiles and rural enough for you to see neighboring horses.",N,"No Restrictions",140,"County,Paved","Sewer - Septic Private,Water - Needs Well",No,"Go There","Brighthouse Cable,High Speed Internet,Pets Allowed,Progress Energy,Title Insurance",FL,2013-02-20,E,"Amberjack Drive",1275,"Hercala Acres",205.06,,19,18,19,2011,"Cash,Conventional",No,,,No,No,,No,,
1.53,Yes,"- Active","150 x 443",0,"Overhead,Septic Sewer,Well",No,None,Homosassa,,,,,Gettysburg,,,"44W, L on 490, R on Rockcrusher, L on Potomac, R on Gettysburg, l on Heritage. Lot on left.",Yes,Yes,,,No,,No,No,"Mobile Home,Single Family Residential",,"Heritage Acres Unit 4 Lot 13 Blk H",No,2755086095,27550860,2013-02-06,95,,23,2755,086,701187,0,Active,"Excl. Right to Sell",25000,Flat,"150 x 443",,2013-03-01T17:11:25,0,Yes,"- Active",Overhead,No,2250801,1,2013-03-01T17:11:25,"At Close",34446,,"Vacant Land","Here's a buildable 1.53 acre parcel that had a mobile home removed.  Hence the seller has a letter from Citrus County attesting to the fact that the impact fee has been paid and will not be charged again. Well, septic and power pole are sold in an ""As Is"" condition with no known defects.",S,,150,"County,Paved","Sewer - Septic Private,Water - Private Well",No,"Go There","Sold As Is,Survey,Title Insurance",FL,2013-02-06,W,"Heritage Drive",6370,"Heritage Acres",193,,,,,2012,"Cash,Conventional",No,,,No,No,,No,,
1,Yes,"- Active","100 x 418",0,"Cable TV,Electric-Progress Energy,Septic Sewer,Telephone,Well",No,None,Hernando,None,,,,Eisenhower,,,"486 W, R on Annapolis, R on Bismark, L on  Eisenhower and a L on Rockefeller. Lot is on the left.",Yes,Yes,,,No,,No,No,"Single Family Residential",,"Citrus Hills Lot 7 Blk 4",No,2755086095,27550860,2013-05-30,95,,08,2755,086,703476,0,Active,"Excl. Right to Sell",14000,"Rectangle,Room for Pool","100 x 418",Lecanto,2013-06-12T18:35:36,0,Yes,"- Active","Cable TV,Electric-Progress Energy,Telephone",No,1962781,,,"At Close",34442,,"Vacant Land","Part of the attraction to Presidential Estates is that, while it is a village of Citrus Hills, its deed restrictions have relaxed and it's now the perfect community in which to build your home and to bring your toys.  As a homes-only subdivision you will find yourself in the company of handsome homes.  Centrally located and most convenient to shopping.",S,"No Restrictions",100,"County,Paved","Sewer - Septic Private,Water - Private Well",No,"Go There","Brighthouse Cable,DSL,High Speed Internet",FL,2013-05-30,E,"Rockefeller Lane",1140,"Presidential Est.",125.76,,,,,2012,"Cash,Conventional",No,,,No,No,,No,,
1,Yes,"- Active","100 x 418",0,"Cable TV,Electric-Progress Energy,Telephone",No,None,Hernando,,,,,Gaines,,,"486 W, L on Annapolis, R on Bismark, L on Eisenhower.  Lot is on your left.",Yes,Yes,,,No,,No,No,"Single Family Residential",,"Citrus Hills Lot 26 Blk 2",No,2755086095,27550860,2013-05-30,95,,08,2755,086,703478,0,Active,"Excl. Right to Sell",14000,"Rectangle,Room for Pool","100 x 418",Lecanto,2013-06-12T18:54:50,0,Yes,"- Active","Cable TV,Electric-Progress Energy,Telephone",No,1961009,,,"At Close",34442,,"Vacant Land","Presidential Estates, while it is a village of Citrus Hills, has relaxed their deed restrictions to where it's a wonderful community in which to build and to bring your toys.  Centrally located and convenient to shopping.",N,"No Restrictions",100,"County,Paved","Sewer - Septic Private,Water - Private Well",No,"Go There","Brighthouse Cable,DSL,High Speed Internet,Pets Allowed,Progress Energy,Title Insurance",FL,2013-05-30,E,"Hobart Lane",1179,"Presidential Est.",125.76,,,,,2012,"Cash,Conventional",No,,,No,No,,No,,
1,Yes,"- Active",,145,"Cable TV,Electric-Progress Energy,Public Water,Telephone,Underground",No,None,Hernando,"Near Shopping",,,,Liberty,,,"486 W, L on Annapolis, L on Liberty, R on Spend A Buck. Lot is on the right.",Yes,Yes,,,No,,Yes,No,"Single Family Residential",,"Clearview Ests Lot 14 Blk 7",No,2755086095,27550860,2013-05-30,95,,08,2755,086,703451,0,Active,"Excl. Right to Sell",25000,"Rectangle,Room for Pool",,,2013-06-12T17:34:17,0,Yes,"- Active","Cable TV,Electric-Progress Energy,Public Water,Telephone,Underground",No,2530243,1,2013-06-12T17:34:17,"At Close",34442,,"Vacant Land","You're sure to enjoy the company of other good looking homes when you choose Clearview Estates, one of the villages of Citrus Hills, as your home site.  The community is centrally located and offers underground utilities, central water, and easy access to shopping.",W,"Deed Restrictions",,"County,Paved","Sewer - Septic Private,Water - Public",No,"Go There","Brighthouse Cable,DSL,High Speed Internet,HOA Disclosure,Pets Allowed,Progress Energy,Restrictions,Title Insurance",FL,2013-05-30,N,"Spend A Buck",1085,"Clearview Est.",441.49,,,,,2012,"Cash,Conventional",No,,,No,No,,No,,
.34,Yes,"- Active","100 x 150",0,"Electric-Progress Energy,Public Water",,None,"Crystal River",,,,,"Fort Island Trail",2009-01-12,,"Hwy 19 to west on Fort Island Trail, left on N. Country Club Drive, to lot on left.",No,Yes,,None,Unverified,,No,No,"Single Family Residential",,"Lt 14, Block C, Crystal Paradise Ctry Club, PB 2, PG 182",No,27553240268,27553240,2005-10-07,268,,17,2755,324,128476,0,Active,"Excl. Right to Sell",15000,Rectangle,"100 x 150","Crystal River",2013-04-02T13:11:37,0,Yes,"- Active","Public Water",No,1100291,1,2013-04-02T13:11:37,"At Close",34429,,"Vacant Land","Perfect building lot across street from the beautiful Plantation Golf Course, very attractively priced for a third of an acre! Conveniently placed for business, shopping dining, watersports and fishing yet only 20 minutes from the Suncoast Parkway giving easy access to Tampa International Airport in only 45 minutes",E,,100,"County,Paved","Sewer - None,Water - Public",No,"Go There","Survey,Title Insurance",FL,2006-09-28,N,"Country Club Drive",895,"Paradise Country Club",316,,17,33,18,2011,"Cash,Conventional",No,,,No,No,,No,,
.34,Yes,"- Active","100 x 150",0,"Electric-Progress Energy,Public Water",,None,"Crystal River",,,,,"Forty Island Trail",2009-01-12,,"Hwy 19 to west on Fort Island Trail, left on N. Country Club Drive to lot on left.",No,Yes,,None,Unverified,,No,No,"Single Family Residential",,"Lot 21, Block C, Paradise Cntry Club, PB 2, PG 182",No,27553240268,27553240,2005-10-07,268,,17,2755,324,128477,0,Active,"Excl. Right to Sell",15000,Rectangle,"100 x 150","Crystal River",2013-04-02T13:10:38,0,Yes,"- Active","Public Water",No,1100356,1,2013-04-02T13:10:38,"At Close",34429,,"Vacant Land","Excellent value for this building lot of a third of an acre across from the Plantation Golf Course. Conveniently situated for business, shopping, dining, fishing and watersports yet only 20 minutes from the Suncoast Parkway giving easy access to Tampa International Airport.",E,,100,"County,Paved","Sewer - None,Water - Public",No,"Go There","Title Insurance",FL,2006-09-28,N,"Country Club Drive",761,"Paradise Country Club",316,,17,33,18,2011,"Cash,Conventional",No,,,No,No,,No,,
